1,1777042305.724833,0.017653,2026-04-24T14:51:45.724833+00:00,sitl_to_mission,40,,,,,,,,,,,,,,,,,,,,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1,0,0,0
45,1777042306.000190,0.293006,2026-04-24T14:51:46.000190+00:00,sitl_to_mission,52,-0.010000,0.010000,0.000000,0.014142,-35.363262,149.165237,-0.006000,6,10,0.001267,0.001044,-0.101567,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,45,44,0,0
151,1777042307.000739,1.293557,2026-04-24T14:51:47.000739+00:00,sitl_to_mission,36,-0.010000,0.010000,0.000000,0.014142,-35.363262,149.165237,-0.006000,6,10,0.001267,0.001036,-0.101581,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,151,150,0,0
274,1777042308.226924,2.519751,2026-04-24T14:51:48.226924+00:00,sitl_to_mission,40,-0.015226,0.018827,0.000222,0.024214,-35.363262,149.165237,-0.006000,6,10,0.001259,0.001040,-0.101601,,,,,,,55.905837,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,274,273,0,0
368,1777042309.000005,3.292823,2026-04-24T14:51:49.000005+00:00,sitl_to_mission,41,-0.010000,0.010000,0.000000,0.014142,-35.363262,149.165237,-0.006000,6,10,0.001254,0.001036,-0.101635,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,368,367,0,0
479,1777042310.001368,4.294185,2026-04-24T14:51:50.001368+00:00,sitl_to_mission,34,-0.010000,0.010000,0.000000,0.014142,-35.363262,149.165237,-0.006000,6,10,0.001252,0.001034,-0.101653,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,479,478,0,0
606,1777042311.000057,5.292878,2026-04-24T14:51:51.000057+00:00,sitl_to_mission,41,-0.015101,0.018592,-0.000056,0.023952,-35.363262,149.165237,-0.006000,6,10,0.001252,0.001039,-0.101680,,,,,,,55.905833,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,606,605,0,11
713,1777042312.003041,6.295862,2026-04-24T14:51:52.003041+00:00,sitl_to_mission,34,-0.014854,0.018439,-0.000094,0.023678,-35.363262,149.165237,-0.006000,6,10,0.001250,0.001042,-0.101699,,,,,,,55.905686,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,713,712,0,11
842,1777042313.008349,7.301173,2026-04-24T14:51:53.008349+00:00,sitl_to_mission,40,-0.010000,0.010000,0.000000,0.014142,-35.363262,149.165237,-0.006000,6,10,0.001232,0.001051,-0.101725,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,842,841,0,11
947,1777042314.000051,8.292871,2026-04-24T14:51:54.000051+00:00,sitl_to_mission,41,-0.014716,0.017813,-0.000276,0.023108,-35.363262,149.165237,0.003000,6,10,0.001238,0.001050,-0.101712,,,,,,,55.905803,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,947,946,0,15
1072,1777042315.007849,9.300668,2026-04-24T14:51:55.007849+00:00,sitl_to_mission,40,0.000000,0.000000,0.000000,0.000000,-35.363262,149.165237,0.003000,6,10,0.001395,0.001219,-0.101737,,,,,,,55.901699,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1072,1071,0,15
1174,1777042316.000072,10.292892,2026-04-24T14:51:56.000072+00:00,sitl_to_mission,26,0.001901,-0.002710,-0.000209,0.003316,-35.363262,149.165237,0.004000,6,10,0.001668,0.001501,-0.101810,,,,,,,55.902391,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1174,1173,0,17
1285,1777042317.000588,11.293408,2026-04-24T14:51:57.000588+00:00,sitl_to_mission,26,0.000707,-0.000921,-0.063536,0.063546,-35.363262,149.165237,0.007000,6,10,0.001973,0.001815,-0.101902,,,,,,,55.901839,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1285,1284,0,17
1398,1777042318.000360,12.293179,2026-04-24T14:51:58.000360+00:00,sitl_to_mission,52,0.002910,-0.004489,-1.169574,1.169586,-35.363262,149.165237,0.577000,6,10,-0.000394,-0.000476,-0.102102,,,,,,,55.901980,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1398,1397,0,17
1506,1777042319.000633,13.293454,2026-04-24T14:51:59.000633+00:00,sitl_to_mission,34,0.002948,-0.003294,-2.029597,2.029601,-35.363262,149.165237,2.136000,6,10,0.003736,0.003264,-0.102053,,,,,,,55.899519,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1506,1505,0,17
1619,1777042320.000949,14.293770,2026-04-24T14:52:00.000949+00:00,sitl_to_mission,34,-0.008006,0.011324,-2.530356,2.530394,-35.363262,149.165237,4.566000,6,10,0.002683,0.002788,-0.128831,,,,,,,55.897909,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1619,1618,0,17
1730,1777042321.000958,15.293778,2026-04-24T14:52:01.000958+00:00,sitl_to_mission,34,-0.010044,0.011140,-2.389560,2.389608,-35.363262,149.165237,7.076000,6,10,0.004015,0.003681,-0.128851,,,,,,,55.897189,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1730,1729,0,17
1833,1777042322.000587,16.293407,2026-04-24T14:52:02.000587+00:00,sitl_to_mission,34,-0.010000,0.010000,-1.230000,1.230081,-35.363262,149.165237,9.259000,6,10,0.004278,0.003958,-0.128917,,,,,,,55.893985,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1833,1832,0,17
1945,1777042323.000631,17.293450,2026-04-24T14:52:03.000631+00:00,sitl_to_mission,54,-0.010000,0.010000,-0.230000,0.230434,-35.363262,149.165237,9.987000,6,10,0.002790,0.003080,-0.128980,,,,,,,55.893985,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,1945,1944,0,17
2051,1777042324.000267,18.293083,2026-04-24T14:52:04.000267+00:00,sitl_to_mission,34,-0.010000,0.010000,0.030000,0.033166,-35.363262,149.165237,9.969000,6,10,0.001967,0.002819,-0.128961,,,,,,,55.889925,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,2051,2050,0,17
2167,1777042325.000890,19.293709,2026-04-24T14:52:05.000890+00:00,sitl_to_mission,41,0.300457,0.220858,-0.021045,0.373491,-35.363262,149.165238,9.954000,6,10,0.211484,-0.188791,-0.142707,,,,,,,55.841513,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,2167,2166,0,19
2285,1777042326.000008,20.292826,2026-04-24T14:52:06.000008+00:00,sitl_to_mission,26,2.579350,2.155688,-0.032236,3.361707,-35.363249,149.165250,9.965000,6,10,-0.032360,-0.366615,0.773634,,,,,,,54.067105,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,2285,2284,0,19
2396,1777042327.000607,21.293424,2026-04-24T14:52:07.000607+00:00,sitl_to_mission,24,4.338960,3.551497,-0.012089,5.607124,-35.363218,149.165282,9.982000,6,10,-0.003128,-0.453596,0.689591,,,,,,,49.720959,0.000000,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,0,forward,1,,0.000000,2396,2395,0,19
2516,1777042328.000695,22.293513,2026-04-24T14:52:08.000695+00:00,sitl_to_mission,26,6.012034,4.902827,-0.018065,7.757744,-35.363171,149.165328,9.991000,6,10,-0.000100,-0.430549,0.689655,,,,,,,43.253208,0.007648,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,1,delay,1,,0.000313,2516,2514,0,19
2631,1777042329.000487,23.293304,2026-04-24T14:52:09.000487+00:00,sitl_to_mission,26,5.047317,4.128571,0.024699,6.520822,-35.363119,149.165381,10.010000,6,10,0.003235,0.000915,0.689868,,,,,,,36.078726,0.088272,50.000000,25.000000,45.000000,0.000000,1.500000,0.100000,0.050000,0.020000,1,0.000000,0.000000,0,0,5,delay,1,,0.005767,2631,2625,0,19
